Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000,45000000,84000000,107000000,155000000,879000000,1108000000,1209000000,1357000000,1347000000,1733000000,1725000000,1165000000,1389000000,2524000000,2423000000,1488000000,2052000000,3435000000,4416000000,4716000000,5206000000,5456000000,1952000000,265000000,5180000000,1389000000,279000000,259000000,330000000,284000000,135000000,194000000,131000000,87000000,128000000
Africa Eastern and Southern,AFE,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,4272845383,4281293916,4524189229,5064895318,5502106882,5690086734,6180101627,6453622871,6983768294,7793771361,8210917660,8636512492,9320843636,13163869921,17813731074,16584469574,16050099885,19339747282,21959848467,30142252330,40107296580,33574110150,29532565494,30174290375,29339336132,28040631420,30513967254,35401653116,37860750997,39340481112,41506683960,39906948242,39901863258,40981473428,43202705275,48514346648,52909030984,54938128817,47079949332,48603805871,56207839836,54262101734,57874017867,69270919576,89168480646,1.09858E+11,1.30197E+11,1.62717E+11,2.01354E+11,1.49973E+11,2.05278E+11,2.49111E+11,2.39341E+11,2.3659E+11,2.27124E+11,1.78802E+11,1.66706E+11,1.97563E+11,2.21895E+11,2.01427E+11,1.82535E+11,2.58707E+11
Afghanistan,AFG,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,50000000,53000000,58000000,70000000,64000000,74000000,67000000,66000000,72000000,82000000,86000000,100000000,122000000,143000000,230000000,217000000,291000000,306000000,321000000,474000000,670000000,694000000,708000000,729000000,633000000,567000000,552000000,512000000,395000000,236000000,235000000,189000000,181000000,688000000,105000000,166000000,128000000,144000000,159000000,166000000,137000000,68000000,100000000,144000000,305000000,384000000,416000000,454000000,540000000,403000000,388000000,376000000,429000000,515000000,570000000,571000000,596000000,723000000,875000000,864000000,777000000,1037000000
Africa Western and Central,AFW,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1585000000,1646000000,1620000000,1821000000,2124000000,2301000000,2375000000,2313000000,2497000000,2902000000,3459000000,4060000000,4730000000,6988000000,14402000000,13229000000,16934000000,19798000000,18098000000,27317000000,38234000000,28572000000,22427000000,20176000000,22327000000,23190000000,15510000000,18098000000,17184000000,22101000000,27434000000,24685000000,25228000000,22647000000,22389000000,28845000000,34069000000,33198000000,26634000000,31386000000,39059000000,36380000000,38730000000,48903000000,70669000000,90665000000,1.06252E+11,1.19837E+11,1.57215E+11,1.13875E+11,1.50095E+11,2.04483E+11,2.00079E+11,1.79608E+11,1.8835E+11,1.152E+11,95122000000,1.15985E+11,1.41699E+11,1.39239E+11,1.12041E+11,1.40026E+11
Angola,AGO,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,124000000,135000000,148000000,163000000,204000000,200000000,221000000,238000000,271000000,326000000,423000000,455000000,479000000,792000000,1202000000,1012000000,619000000,786000000,968000000,1091000000,1883000000,1856000000,1629000000,1822000000,2033000000,2245000000,1332000000,2168000000,2516000000,3015000000,3910000000,3410000000,3755000000,3762000000,3018000000,3642000000,5095000000,5007000000,3543000000,5157000000,7921000000,6534000000,8328000000,9508000000,13475000000,24109000000,31862000000,44396000000,63914000000,40828000000,50595000000,67310000000,71093000000,68247000000,59170000000,33181000000,27589000000,34613000000,40758000000,34726000000,20937000000,33581000000
Albania,ALB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,49000000,49000000,41000000,48000000,60000000,,,,,,,,,,,,,,,,,,,,,,,,258000000,305000000,230000000,100000000,70000000,122000000,140000000,202000000,207000000,139000000,205000000,351000000,261000000,307000000,340000000,448000000,605000000,659000000,790000000,1079000000,1027000000,1091000000,1544000000,1947000000,1967000000,2339000000,2429000000,1917000000,1959000000,2292000000,2870000000,2716000000,2506000000,3559000000
Andorra,AND,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000000,90000000,97000000,118000000,129000000,126000000,117000000,148000000
Arab World,ARB,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,4671188474,4611018592,4872757577,6137327922,6820256078,7258493382,7959472502,8334531431,9923016305,10917825013,11949738483,15533857762,18899359806,28288869827,84118497286,76891091676,93041690725,1.0208E+11,1.00471E+11,1.6016E+11,2.38658E+11,2.27032E+11,1.69924E+11,1.29622E+11,1.22457E+11,1.13154E+11,79308918085,91506355913,92536263719,1.16489E+11,1.42458E+11,1.27509E+11,1.34E+11,1.27278E+11,1.31815E+11,1.49872E+11,1.80195E+11,1.88047E+11,1.4268E+11,1.7878E+11,2.63246E+11,2.3622E+11,2.45977E+11,3.00838E+11,4.03934E+11,5.58741E+11,6.77951E+11,7.92873E+11,1.08286E+12,7.40856E+11,9.27788E+11,1.24354E+12,1.40148E+12,1.38481E+12,1.25324E+12,8.66791E+11,7.9163E+11,9.13507E+11,1.16036E+12,1.09826E+12,8.22736E+11,1.19744E+12
United Arab Emirates,ARE,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,2000000,2000000,10000000,35000000,125000000,190000000,241000000,262000000,335000000,407000000,523000000,871000000,1157000000,1807000000,6414000000,7262000000,9535000000,9636000000,9126000000,13652000000,21970000000,22380000000,18780000000,16900000000,16500000000,16780000000,10640000000,12380000000,12040000000,17596000000,23544000000,24436000000,24756000000,25620000000,26403000000,28364000000,37334000000,40423000000,33837000000,36474000000,49835000000,48414000000,52163000000,67135000000,90997000000,1.17287E+11,1.45587E+11,1.7863E+11,2.39213E+11,1.91802E+11,2.13539E+11,3.02037E+11,3.59728E+11,3.74214E+11,3.43036E+11,3.00477E+11,2.95031E+11,3.13603E+11,3.87964E+11,3.89428E+11,3.35297E+11,4.2516E+11
Argentina,ARG,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1079000000,964000000,1216000000,1365000000,1410000000,1493000000,1593000000,1465000000,1368000000,1612000000,1773000000,1740000000,1941000000,3266000000,3931000000,2961000000,3916000000,5652000000,6400000000,7810000000,8021000000,9143000000,7625000000,7836000000,8107000000,8396000000,6852000000,6360000000,9135000000,9579000000,12353000000,11978000000,12235000000,13118000000,15659000000,20967000000,23811000000,26370000000,26441000000,23333000000,26341000000,26543000000,25650000000,29566000000,34576000000,40351000000,46546000000,55779000000,70018000000,55672000000,68187000000,84051000000,79982000000,75963000000,68405000000,56784000000,57910000000,58644000000,61781000000,65116000000,54884000000,77935000000
